in_id;in_cu_id;in_date;in_description;in_total;in_discount;in_totalafterdiscount
60;619;21/04/2008 :;estis nomen in si Id habitatio et quo in regit,   ;367695;N2MI-KMY3-UABP-Z30Z                               ;434819
61;NULL;17/05/2007 :;Id fecit. gravum vobis novum parte quo, dolorum   ;158475;QP2R-X3PG-0XWI-IG30                               ;420100
62;851;5/11/2006 :;quad non volcans cognitio, et vobis quis quoque   ;312730;CG7K-RTO9-TGHR-Y0VH                               ;294177
63;282;3/01/2003 :;Id Id pladior quoque esset quo, linguens pars     ;97608;GXH0-WESX-J003-9HHN                               ;383452
64;959;4/10/2006 :;essit. delerium. apparens volcans et e trepicandor;281345;3EGO-KG57-HKMM-FY73                               ;6134
65;388;28/11/2003 :;pladior e delerium. rarendum fecit. pladior nomen ;82614;D0RG-TFEI-GI88-2GSQ                               ;360875
66;281;16/05/2003 :;quo novum fecit. apparens non in linguens in      ;105553;NULL;94614
67;532;11/07/2004 :;in vobis Id quorum et e Sed non Id rarendum       ;49411;G8K3-YEEP-BADG-3N0G                               ;20461
68;1065;19/09/2006 :;quis apparens quoque habitatio quartu si          ;18902;42M7-YBDC-Y6H7-5FO4                               ;357744
69;847;22/10/2006 :;quad linguens non linguens delerium. venit. quo,  ;424385;F1OQ-65SD-EGCA-EMDQ                               ;78088
70;105;13/11/2004 :;fecit, trepicandor plorum si eudis cognitio, nomen;438046;M01C-4T6P-NZV6-2DWH                               ;98210
71;402;14/05/2003 :;Et non plorum non homo, pladior Longam, pars      ;315923;TJZ6-HT6E-I2XR-E0CW                               ;425302
72;131;22/04/2003 :;linguens rarendum in quantare quoque quorum in si ;372038;NULL;151388
73;616;5/04/2007 :;trepicandor bono non esset quis linguens in non   ;311302;DY2N-FL59-1PWK-31UF                               ;45145
74;686;17/12/2003 :;novum quo funem. gravis et quantare homo, et      ;240954;AMRD-L23J-110W-UGBN                               ;170731
75;173;23/03/2009 :;Et gravum si habitatio quis quo egreddior glavans ;68120;WOXO-T5C8-C5WK-Q6OG                               ;24649
76;610;9/07/2010 :;vobis quorum Tam venit. fecit. plorum non Longam, ;20900;DHLM-0P0R-MP7X-MO33                               ;126368
77;998;1/12/2008 :;glavans et Longam, brevens, et trepicandor vobis  ;328383;FPVZ-V4FM-NRVQ-E2AY                               ;165086
78;64;25/09/2003 :;linguens gravis plorum Sed trepicandor fecundio,  ;57486;35KJ-NYZ5-22L2-OMLD                               ;207608
79;843;21/01/2006 :;cognitio, et gravis quo quo, non fecit. volcans   ;152101;W9DQ-UUGS-JD5S-A4B2                               ;187148
80;646;18/07/2006 :;homo, rarendum sed non essit. trepicandor Versus  ;47522;W4AY-L5T8-SHX5-TRUJ                               ;332670
81;971;6/05/2004 :;trepicandor esset dolorum transit. bono novum e   ;469876;TH74-OXTR-JBJQ-RZEQ                               ;168517
82;513;2/12/2009 :;venit. fecundio, parte et essit. cognitio, fecit, ;433242;O07C-2GZE-IARZ-FW5U                               ;212583
83;814;9/03/2006 :;nomen quartu regit, funem. nomen essit. vantis.   ;284050;NC11-GX78-UD43-S9VW                               ;115334
84;576;15/07/2007 :;quoque vantis. travissimantor Multum quad regit,  ;254419;8YFA-9JJX-UTJE-BZ6E                               ;248700
85;673;1/06/2006 :;fecit. manifestum linguens vobis nomen essit. quad;451510;48QR-56OL-519T-PXQD                               ;85998
86;302;14/02/2005 :;habitatio in brevens, eudis vobis ut rarendum     ;434429;WE9R-1TPA-S3G5-Z7NP                               ;111247
87;466;6/09/2010 :;quorum Longam, parte habitatio fecit, dolorum     ;91896;3VXW-TJQB-E8SR-QZY0                               ;9335
88;217;16/09/2006 :;habitatio linguens quo, vobis bono quad plorum    ;18923;CHDK-1L4W-HA1U-1GCF                               ;50015
89;231;16/06/2008 :;gravum vobis quorum egreddior Versus plorum venit.;459980;I2D7-JBPA-08N5-MHDO                               ;142539
90;447;10/12/2006 :;vantis. funem. manifestum delerium. si in non si  ;183640;7FU7-37Y6-9MJ1-936W                               ;7633
91;20;4/08/2008 :;Id quad et venit. manifestum linguens Tam gravis  ;346600;QWTP-8NWN-K3O5-285L                               ;376821
92;817;21/10/2007 :;quad in Versus in Id nomen fecit, imaginator      ;285214;CDII-DPL3-IBH0-BM53                               ;183725
93;914;17/07/2010 :;plurissimum funem. in Longam, imaginator glavans  ;301081;GBA7-6YDB-1XKC-DDBS                               ;251809
94;510;20/05/2008 :;eggredior. cognitio, Pro Quad pladior si e vobis  ;40595;I1SQ-8MNL-G227-02B9                               ;95991
95;994;18/03/2005 :;quad novum vobis et pladior rarendum eggredior.   ;217555;FC94-KQ4O-YACD-EIKR                               ;72453
96;654;9/09/2008 :;gravis fecit, nomen e plorum funem. estum. et Et  ;231956;JARW-YVD9-A111-5ROU                               ;257064
97;968;16/04/2003 :;homo, esset si in non trepicandor fecundio, venit.;310996;IHZF-5QOB-IIK9-5LDL                               ;225219
98;773;3/06/2006 :;e quad estis fecit. pladior Quad quad Multum in   ;123899;PCVD-W9B3-MTQW-1BBG                               ;158626
99;421;6/06/2002 :;cognitio, Quad regit, quad quo nomen plorum e e   ;499378;862K-SHRT-KE3W-5MLK                               ;227850
100;886;19/04/2007 :;non quad pars et si e glavans regit, fecundio,    ;137437;WELL-ORNS-T9W7-JABK                               ;225925
101;256;8/06/2009 :;nomen plurissimum nomen vobis non Pro ut Et et    ;348250;EHIX-8PTQ-FPRW-TLGI                               ;361947
102;898;27/05/2004 :;NULL;415055;0UZN-BHV8-VB0H-FWNH                               ;375394
103;883;7/05/2002 :;novum quartu quad habitatio Tam e non e regit,    ;311285;ZYXG-4H0Q-YUSH-KHUM                               ;440214
104;786;26/11/2002 :;novum glavans Et Versus pars novum quo plurissimum;363767;QTL4-4OAQ-XXZO-2WJX                               ;187520
105;353;25/02/2002 :;linguens non apparens habitatio gravis quo        ;491236;UG5C-1IJE-X21N-5CTZ                               ;389066
106;34;23/11/2005 :;eudis nomen linguens manifestum Multum essit.     ;344394;F6AO-0U3D-NYWF-9O8F                               ;162353
107;122;19/08/2002 :;bono quorum imaginator habitatio in dolorum funem.;93765;M5V5-VVBL-P3JC-N6GF                               ;423976
108;497;18/04/2004 :;essit. plurissimum brevens, sed e apparens        ;37075;6E6F-Z5MO-G4DK-9B5K                               ;35126
109;262;5/12/2004 :;in quo, fecit, habitatio et gravis rarendum       ;395019;4JIE-KEKN-28TS-7ZG7                               ;146258
110;243;21/06/2008 :;NULL;246895;P9MR-LPZC-B0VC-MWR4                               ;298002
111;134;10/04/2003 :;linguens quoque si brevens, fecit, Longam,        ;204708;LLYC-8BLA-AUYG-UWRW                               ;44902
112;560;16/02/2008 :;habitatio plorum et fecit, gravis novum funem.    ;174530;UF76-1CG9-B7BU-4BAZ                               ;250586
113;342;17/06/2002 :;novum quoque linguens trepicandor et sed estum.   ;408972;94OK-H2FZ-Q4VF-6DSC                               ;429790
114;98;30/12/2010 :;fecit, plurissimum Multum imaginator nomen gravis ;52982;WVCO-2I3W-JMRM-QQNY                               ;72462
115;711;16/12/2005 :;non fecit. linguens e quis eggredior. quantare in ;397819;ZWGL-6CWB-RJXA-ES03                               ;266301
116;652;15/06/2008 :;esset si vobis vobis regit, fecit, et vobis et e  ;225233;YYIR-3C80-FPTT-ZEQS                               ;207517
117;265;29/08/2002 :;transit. egreddior Tam quad non quad venit. et    ;28680;QMSJ-ZOH9-YQJT-0DOG                               ;178842
118;196;22/06/2006 :;pladior et delerium. linguens apparens quis Et    ;343190;T3WI-1Q4K-Z17T-C6ZA                               ;134752
119;492;5/05/2002 :;Multum essit. quis plorum in quad nomen novum et  ;329835;EVYY-P6Z9-LQAZ-NQAL                               ;370137
120;320;14/10/2009 :;quo transit. quad Quad dolorum parte quantare et  ;148186;9KXW-XIPE-UEEB-Y4XN                               ;249627
121;245;9/09/2003 :;dolorum travissimantor Versus quo, linguens essit.;13657;VQUT-9Q7D-LVDV-UY2X                               ;85278
122;611;25/10/2008 :;e e Longam, pars cognitio, fecit. essit. funem.   ;30488;7GK1-7CYM-ITME-JP35                               ;420447
123;NULL;4/04/2009 :;volcans e quad rarendum estis Pro venit. dolorum  ;58922;6ACN-Y1IG-Z2ZQ-E5TX                               ;215205
124;962;12/11/2010 :;et gravum in delerium. et quad parte Quad quo,    ;240744;WSLU-S8ZA-4UX5-W3XE                               ;70455
125;1097;11/04/2007 :;homo, glavans dolorum in novum plurissimum non si ;91445;NULL;171389
126;191;25/07/2006 :;quo, fecit, essit. eggredior. Id non Pro e vobis  ;30708;6TI3-GTWD-EW5L-DOHE                               ;241576
127;111;6/10/2003 :;quoque Multum Sed estum. pladior quad non rarendum;70957;P184-45UY-A7F0-39IB                               ;349580
128;102;16/11/2009 :;estis ut fecit, esset essit. e Id quad            ;270707;YCM4-8PB9-7MJJ-4LDO                               ;399155
129;643;1/10/2009 :;non quantare quad non nomen ut gravis volcans     ;23398;AZY9-6G57-365L-DF36                               ;98277
130;242;14/07/2002 :;plorum quo, plorum in quoque linguens in vantis.  ;336165;FTKL-OOVR-IWTX-ZEC9                               ;217585
131;860;26/03/2009 :;quantare vobis quoque Tam regit, vantis. Tam nomen;209904;RJ4H-1GXN-OH6I-HECD                               ;351150
132;908;30/06/2004 :;Id novum Tam in non travissimantor in quo, quo    ;204483;ILDX-7C83-Y2TG-VO3B                               ;6460
133;461;22/04/2003 :;parte Pro rarendum quo vantis. et in nomen        ;58108;8Q7W-1PBZ-K1Z2-6668                               ;429759
134;779;4/10/2009 :;quad quantare quad estum. quantare bono et        ;14663;O7UQ-MNQ3-SB1H-REHD                               ;411223
135;648;10/02/2008 :;homo, et quo, non rarendum novum pars e Versus    ;199272;I192-X3Q8-PHUA-0WGZ                               ;420724
136;609;11/12/2010 :;Sed ut fecit, Sed estis fecit. e et transit. non  ;54820;DY7V-90H4-SOT0-MYRE                               ;243123
137;624;29/07/2009 :;Longam, quo Versus essit. manifestum egreddior    ;121956;IWIV-BGRA-UXHF-JTDU                               ;222370
138;874;13/04/2005 :;estum. e quantare vantis. in manifestum Quad      ;420283;XLMR-0OTQ-1420-GGCI                               ;377814
139;138;21/05/2007 :;quo, et et quis quorum dolorum fecundio,          ;263183;S976-U6E5-TLXC-XARF                               ;309634
140;NULL;9/07/2002 :;quo, imaginator funem. Id et quad regit, novum    ;107115;NN0Q-QUHZ-3GVX-OEF5                               ;373645
141;1084;28/06/2004 :;estis sed et venit. et linguens gravum plorum quis;340663;T9NR-G7QY-6OX5-58GA                               ;137271
142;867;21/05/2008 :;Longam, eudis e et sed estis in linguens fecit.   ;54820;0PES-CQZ2-JULU-DZ8Z                               ;424210
143;787;13/10/2003 :;sed fecundio, Multum quantare apparens non quad   ;123905;I4II-EJQO-FX49-4VVW                               ;353758
144;830;27/12/2010 :;in gravis vantis. et egreddior estum. eudis sed   ;213084;Q8NJ-B23M-60GV-V6VK                               ;294537
145;523;2/09/2005 :;Versus venit. Quad linguens plorum pars quo, nomen;478933;SZAZ-LQC9-H3BL-9GZJ                               ;412732
146;635;20/06/2002 :;travissimantor pars regit, quorum Quad quad ut    ;172069;CG4S-EG9V-XZBG-QYOL                               ;126235
147;1010;6/05/2007 :;NULL;376243;LQT7-3OV5-E7CO-BVI2                               ;203935
148;801;19/07/2010 :;pladior homo, eudis quantare quis non plorum      ;248098;5GGJ-HSVZ-BSE7-LMXD                               ;179346
149;922;4/06/2004 :;quantare transit. linguens si vobis quis Tam Id   ;142776;QL3S-PNMB-UFL0-49AP                               ;279690
150;193;3/10/2007 :;eudis esset fecundio, e non funem. e quartu gravum;492322;BSV7-MT4E-PY49-KDO9                               ;314937
151;662;12/01/2008 :;quad quorum Tam quad nomen homo, cognitio, et in  ;203276;T5KP-V6D0-BC7G-XPW0                               ;78221
152;535;26/10/2007 :;volcans quo Sed non Sed quad fecit. funem. Id     ;467807;VI7S-WBC6-RL0X-5863                               ;90467
153;774;29/01/2006 :;quad in regit, non e quis cognitio, sed habitatio ;294064;FG49-CROR-VGOK-BYR5                               ;238490
154;1126;24/08/2003 :;dolorum si plurissimum quo pladior Longam, regit, ;351191;KU6D-QB9C-OIS4-FDXL                               ;428224
155;120;11/08/2005 :;non parte et Sed habitatio nomen Versus transit.  ;123780;5NL9-AXG1-7G1V-K9RW                               ;140647
156;563;14/08/2002 :;delerium. vobis travissimantor quo, quo sed esset ;317762;0HBE-COKB-X05W-X9WL                               ;391500
157;641;22/02/2006 :;Quad non glavans gravis pladior quorum si brevens,;356132;SV8K-7HXS-5M14-NB61                               ;160189
158;1059;25/06/2002 :;quo Pro Sed non plorum in plorum fecit, quoque non;70541;MD5K-7A4T-AD6T-59Q9                               ;369759
159;1094;18/08/2006 :;estis si nomen funem. quad imaginator et non      ;272321;UQRL-BY1O-L3V6-FQNP                               ;16131
160;121;3/08/2006 :;plurissimum novum quad si plorum si plurissimum et;460527;WD3E-SF7G-DLW1-VLJ9                               ;147489
161;631;19/02/2004 :;delerium. et et regit, sed estum. quad imaginator ;273437;89FE-7H0E-FM0C-HND7                               ;262773
162;1100;4/10/2003 :;plurissimum novum nomen habitatio quad fecit,     ;323059;VQLM-06TL-T6D6-NXPL                               ;24821
163;13;18/07/2005 :;vantis. quad estis Sed venit. et nomen quo Sed    ;NULL;AFT6-RKKY-88CQ-IOTD                               ;386849
164;1046;24/05/2004 :;pars vantis. travissimantor quartu imaginator in  ;13676;0OFU-88UN-JXR0-GWEY                               ;378673
165;824;29/03/2010 :;plurissimum Pro funem. parte travissimantor quis  ;58854;GMVH-KUNI-Z3CT-M0ZQ                               ;396853
166;952;10/10/2009 :;linguens Id e quo trepicandor funem. quartu pars  ;36991;IPWI-BGBI-L9U3-DSXI                               ;38442
167;946;28/10/2006 :;glavans linguens in fecit, eggredior. si ut       ;224;ELCH-FLYU-GXNJ-QPDX                               ;270828
168;1032;13/09/2003 :;vobis imaginator linguens travissimantor eudis    ;116422;4I5A-P98H-U2HV-XCF1                               ;18566
169;845;19/11/2004 :;funem. egreddior gravis novum quartu fecit,       ;394308;QIHW-OMBC-OE0I-VG2W                               ;101739
170;552;6/01/2006 :;fecundio, rarendum plorum et regit, venit. quo    ;353710;6CG1-DFRJ-DACS-M18I                               ;23177
171;419;18/11/2009 :;pars sed linguens Id Tam vantis. et venit.        ;342998;2XWW-F1Y5-HAI9-E1F4                               ;435148
172;422;18/05/2008 :;in brevens, cognitio, quad plorum esset quoque    ;103276;8USJ-D278-T7J0-8FKX                               ;251029
173;601;1/02/2010 :;Pro Versus non vobis et fecit, Id volcans homo,   ;108397;CHMD-3R3U-LM44-75CP                               ;275118
174;913;28/10/2010 :;Tam Et et linguens fecundio, Sed et apparens      ;80006;CTQ1-9RIJ-YGHR-R8E7                               ;446492
175;681;19/04/2007 :;quad travissimantor gravis si quantare e dolorum  ;222720;LZCC-73ED-23U6-IRL1                               ;112355
176;467;21/04/2006 :;in e plorum eudis in Id Longam, gravis estum.     ;307523;C9J5-44C2-YR5L-CHDI                               ;111068
177;1087;14/01/2007 :;cognitio, e habitatio linguens estis vobis nomen  ;458838;6C41-VMAR-0NC5-CG7E                               ;66688
178;520;9/04/2009 :;novum essit. gravis vobis bono dolorum e nomen et ;406584;3QBH-BY92-0D2X-Z4HJ                               ;370668
179;950;13/03/2007 :;nomen glavans homo, Pro Pro Quad estis venit.     ;345839;ITKJ-BEZT-W9Y4-F1NJ                               ;107723
180;1107;22/10/2006 :;volcans habitatio fecit. bono cognitio, et        ;261812;WC84-MLF8-7YOC-A5SL                               ;45154
181;189;21/03/2010 :;egreddior sed gravum fecit, et eggredior. non     ;419376;XYF9-REYX-YHY7-5KG0                               ;37641
182;1072;20/03/2004 :;quo egreddior imaginator gravis linguens volcans  ;154466;QZR1-YLM8-982B-YXYD                               ;170233
183;909;15/06/2007 :;fecundio, plorum transit. imaginator regit,       ;322859;7MIS-Q0G6-PPSB-Y7DO                               ;119464
184;757;31/12/2003 :;estum. fecundio, quo parte sed quantare Tam       ;127930;5RQ6-PEMU-7L28-3GY7                               ;233341
185;1152;2/07/2005 :;quad bono linguens glavans venit. essit. esset    ;31077;X5GH-KGQU-RKAL-FWBK                               ;139364
186;614;2/06/2003 :;vobis estum. nomen Versus plurissimum in quad     ;132888;BEMZ-3MJ9-H86T-0B86                               ;260682
187;571;2/06/2009 :;Quad e cognitio, quad trepicandor rarendum quorum ;242098;8OSE-NBHM-75D2-JJHY                               ;217970
188;865;29/08/2010 :;Quad Id transit. homo, estum. e plorum Versus et e;410420;NULL;1534
189;378;24/02/2006 :;vobis homo, Versus nomen eudis pars regit, quad   ;206918;YWGG-JEHQ-4N5X-ML7J                               ;270576
190;1047;30/06/2007 :;in quad plorum venit. plorum nomen e eudis fecit, ;390884;S4XN-BU39-HT99-B7BF                               ;29223
191;534;19/10/2006 :;sed transit. novum trepicandor venit. Pro funem.  ;381511;9TR0-J0G6-XBY3-TZSA                               ;82934
192;160;3/02/2009 :;Pro in e non novum Et quo Longam, et quartu       ;198689;OA7E-BEV8-FASN-YDW6                               ;302611
193;1077;26/08/2009 :;vantis. volcans quad Sed quoque quo Multum vobis  ;51415;AEWC-6V55-CE0R-YMCV                               ;361682
194;986;18/10/2002 :;apparens linguens Quad gravis novum gravis fecit. ;147961;447M-MIAH-G2MN-ADV0                               ;162145
195;333;21/05/2009 :;et fecit, quad imaginator rarendum novum gravis   ;302657;G8QD-0A0F-C001-669U                               ;110871
196;518;26/09/2002 :;quartu quorum essit. Multum quoque Sed linguens   ;333678;NKOZ-9SDF-LQCX-WDTF                               ;112450
197;1129;3/11/2004 :;nomen trepicandor nomen e Multum Multum quad      ;17604;CHVU-F2L4-3318-VKRY                               ;37361
198;117;21/05/2010 :;et estum. quoque in gravis manifestum Pro quantare;41143;8XLJ-MO3B-SDUD-5PT6                               ;425085
199;776;1/10/2002 :;quoque habitatio apparens e in travissimantor et  ;65050;7788-HP3M-CMVG-FWBT                               ;347685
200;755;23/11/2006 :;plorum parte pladior quo Longam, non nomen estis  ;176093;RY9J-Q9NT-6RKY-1OCQ                               ;374289
201;176;23/08/2006 :;nomen et Versus quis habitatio quo fecit. gravis  ;478708;XKHH-6HD5-9DZ0-8XPV                               ;305407
202;180;24/08/2005 :;egreddior estum. glavans si nomen habitatio       ;55647;71AH-L1XP-QJL8-6HS9                               ;185368
203;730;30/08/2007 :;Multum transit. travissimantor quartu homo, in    ;481936;9VHS-SRJQ-3ZHO-V90T                               ;77606
204;229;30/05/2009 :;pladior delerium. volcans non quantare estum. bono;394389;4KOY-QSRR-R5FN-CJHL                               ;256512
205;45;14/11/2008 :;estum. e et Versus fecit. Tam eudis funem. vobis  ;299779;TI77-Q1WV-WGZK-O7II                               ;329790
206;485;27/08/2010 :;pladior linguens plurissimum et volcans brevens,  ;389045;0ZSO-YKTV-BSEY-MDHV                               ;277192
207;608;23/09/2008 :;in fecundio, apparens et pladior egreddior esset  ;94878;OVVE-A6VK-51YG-UQIG                               ;265349
208;1023;3/04/2006 :;ut nomen Versus fecit. gravis non et non vantis.  ;387800;681V-420P-BQNZ-44DJ                               ;241998
209;103;7/05/2007 :;e quoque essit. vobis gravis nomen non quis novum ;71344;SO9Q-ATY3-WU0Q-GUZD                               ;315868
210;526;22/04/2010 :;eggredior. fecundio, quad Id estis quo quad in et ;43667;8554-FDZZ-PCY0-HYA0                               ;29578
211;375;31/07/2006 :;et quartu gravum quis brevens, quo, et Tam        ;164942;A3XP-HPWL-940J-MJ5X                               ;324811
212;457;16/11/2007 :;quo quis egreddior gravis dolorum venit. regit,   ;411179;WUZC-JV0E-HJYM-48GJ                               ;239522
213;586;15/04/2006 :;habitatio vantis. vantis. quad gravum e et        ;10293;PHDY-LCES-YTCL-G4KE                               ;262035
214;778;27/10/2010 :;dolorum manifestum Versus si Quad egreddior Pro   ;308730;LOHQ-P5DU-E3LM-FG0V                               ;420978
215;700;16/05/2007 :;linguens eggredior. egreddior estum. novum et     ;352945;6G7O-N6DT-0N1I-1ZNE                               ;109848
216;465;1/12/2010 :;quis estum. non Sed dolorum fecundio, si plorum   ;306061;GZKP-V8QW-Z3OP-4HTS                               ;92540
