it_id;it_ca_id;it_lo_id;it_serialnumber;it_code;it_barcode;it_expirydate;it_description;it_manufacturer;it_price;it_qtity
11;849;849;1839;MTRPEX1IQYJWRH5MQL4O                              ;527130856;18/12/2008 21:30;Id estis eggredior. rarendum                      ;AUUQ18OGADH0IN                                    ;1141,446969;3074
12;33;33;70750;6LU4QXLHKP427SGYWGX6                              ;309847541;15/07/2015 4:52;egreddior pladior quo Et e brevens,               ;N0JA1B7OEXKIEBXVT0OGS                             ;600,2243257;808
13;527;527;21916;J68SLZHRYTP6ZF8XKNZF                              ;350666822;15/02/2011 12:29;egreddior quad plurissimum                        ;FVZHTTXT14NAVR                                    ;1238,51133;3067
14;688;688;80487;58ETJOONU57HMMFLC5X3                              ;474718196;14/02/2011 9:52;et nomen quantare estis regit,                    ;07F36GSGQ94DIOZT7JXLOBJHD                         ;234,784376;6377
15;82;82;35082;LVEW8D81BTXQCEXTY1AT                              ;787614924;8/12/2007 5:53;fecit. non linguens                               ;KWGU3G5USS8CL9                                    ;733,3200913;666
16;454;454;58382;4OIOCSTB7I1BAJCZXBBG                              ;58819205;18/12/2013 9:00;delerium. rarendum                                ;E88PFF51AGRX6CP                                   ;1377,292551;3131
17;989;989;57051;IB9R98HRD3NAMH7W7VKE                              ;262526517;5/12/2006 21:47;vobis habitatio nomen parte                       ;YPFVWZW5N8NV7LV                                   ;872,7061808;8567
18;763;763;84503;3AVE1UKU1QZCHLC8X3JB                              ;567154835;24/07/2007 1:37;fecit. Tam quartu                                 ;OY92BRXBEU6                                       ;185,1692778;7126
19;382;382;95191;UFE1O253PFQ1WF1DC7EW                              ;667919855;1/12/2012 3:24;non quorum fecit. essit. pladior                  ;CIYI249M6DQFC217R9U                               ;1602,234214;8282
20;958;958;11320;CCNY4WUNAS1359VHDDSF                              ;513981523;2/12/2011 3:24;e fecit, travissimantor                           ;LU982ND6S4H2TH                                    ;1581,268118;1778
21;716;716;99819;BB8AL5BVKV5EMH2Q3K5A                              ;884874773;15/05/2014 1:15;apparens quad novum eudis                         ;594S2B8QA8UQ                                      ;500,9346206;3833
22;1005;1005;64956;FNPYQ55WZUMH711ENIQJ                              ;95316834;31/05/2007 5:56;Versus quartu nomen si                            ;QQJ4ZGTI8QGFR2U2WNLU8                             ;1910,390461;2005
23;795;795;83880;PXWOJSTQATM4AVNJCV06                              ;705504282;3/10/2007 19:49;gravis brevens,                                   ;YMGSEC3Z08W                                       ;1514,939371;9265
24;458;458;2268;L0IWFG0BF1FRNQQT97DB                              ;869037191;18/07/2005 11:30;Quad nomen volcans                                ;G2KC3COBXJOCB8DODK8W0URX                          ;194,9196654;4468
25;222;222;45657;O10DW5DVAMQCT3WDR3CS                              ;112816508;29/11/2012 0:35;quad manifestum parte                             ;72GE9P7JMMSIKK9                                   ;26,7915968;1114
26;719;719;2765;UR7CM5XQ2OMUTWZIJIAN                              ;227078287;28/06/2014 18:43;eggredior. linguens                               ;XYFY4G6YELG003MAMOW97WO                           ;1585,084196;4357
27;488;488;76423;5FOFUMTFH31JQU9S0AZF                              ;194884050;2/08/2012 15:20;Versus trepicandor volcans                        ;GTOML6TZYQ3VC                                     ;538,3900239;1289
28;879;879;44930;7X3IZ6WV7K15YPCIXSJ4                              ;492715764;6/07/2008 23:53;brevens, quis Multum                              ;JQWIZN97IJ                                        ;356,589676;7979
29;736;736;2101;KLLB32PPJ8B7BXHLWUFW                              ;919016882;19/04/2011 6:15;plorum estis pars                                 ;IVVOZY0ALH                                        ;802,3280328;6774
30;680;680;23107;AI0DR4XA2HGBUMCI7W36                              ;431852749;29/04/2012 6:18;Et esset esset plorum                             ;RKD7SG1A0RXO45DPW0J8A                             ;164,4596123;8876
31;219;219;51784;OBQXNSUX0X37QA2LXCYS                              ;599582909;4/02/2011 18:00;Quad habitatio trepicandor                        ;M3BXBZR3KRG9ZC5SUT68J7L                           ;1323,507981;309
32;897;897;2860;GRVWHA42PXBPFL79G3C2                              ;153339936;5/06/2015 14:46;si quo, bono in habitatio regit,                  ;RJM83929ZMX9WU51IX667V                            ;1476,663934;17
33;839;839;77831;1JC43C9XAK5EP7KV16HP                              ;613681842;26/11/2013 16:24;fecit. et Id Multum travissimantor                ;0K45Q22MEI46RDIZAO79CFV                           ;32,10821656;4182
34;645;645;80484;B0SHBOVBH8LP2F7IRDYU                              ;837889242;9/02/2014 5:13;estum. imaginator trepicandor                     ;0N5QL1FZWDL                                       ;1806,906545;9286
35;220;220;90194;FD5BPEMEEXVCJQJJMSNE                              ;679038974;15/09/2015 5:16;brevens, linguens                                 ;Y3C7X0IRRODOZXW                                   ;41,89446105;3701
36;482;482;17907;SCKONSDC9SJUOVNM6MA9                              ;237794636;21/11/2010 14:22;Et si non novum venit.                            ;0LTLP952WC0D35AERU                                ;1331,043685;7089
37;720;720;16053;2AQCJPNZ5LAGKM0LM1M9                              ;458038854;9/02/2015 16:49;quis et e et apparens                             ;6C0BCW34BAGQO5XZAJZZPXAAL                         ;808,5922267;2326
38;101;101;93272;44BIUUWXG6C5OQ1UC43P                              ;751768123;11/10/2014 20:23;pars fecit, vantis. funem. quoque                 ;5OLEYW5WP5                                        ;1867,304393;6152
39;1026;1026;99172;478E39M1KKOZUY6EUOUQ                              ;100654509;31/12/2013 23:38;quo estis non Sed                                 ;AGPL4URGLB                                        ;664,456216;5035
40;906;906;97628;PFXBVWZR9WJJPZX23RKA                              ;387540987;11/12/2005 2:31;estum. volcans quad                               ;560VSVB81PPDRFIXBKLSFS                            ;1578,1856;3569
41;477;477;20854;WLO5URVFHG8ZBFRA28DN                              ;43077290;14/07/2011 2:15;quad gravis trepicandor bono                      ;Z3ADK3IU0O                                        ;1793,971633;6647
42;326;326;47061;AN4G5Y8BQXAF5ST96143                              ;230653514;4/11/2008 0:10;in et cognitio, venit. fecit,                     ;IEE34AKG3AK                                       ;365,6517483;4606
43;469;469;32769;SGBJDK5S1I7NMMXKOPTN                              ;286009852;17/09/2005 21:32;cognitio, homo, in nomen quo                      ;X5MWFV0ISD70RHHR5IVPOUW3                          ;1562,311237;3533
44;810;810;12770;QJYJ6MY1W78JXH7TWRE2                              ;924897798;12/03/2010 6:50;linguens Sed non quo Versus                       ;8GB8ZOPFZC8Y62YZ5                                 ;1623,348973;9249
45;765;765;3420;PE2SJ6WPHCBG81WD07X7                              ;169819700;2/12/2011 9:03;et gravis estis ut gravis in                      ;57DBMTSBKEUE29ID7FPATOIL                          ;421,571973;7380
46;295;295;59853;4BY4O4PQRXFKJ15VQMF1                              ;574821829;24/12/2006 0:18;travissimantor nomen                              ;48TYGWPJRRW5W                                     ;1643,407831;7024
47;664;664;93893;EUX2PGAGWKGUTK23OU26                              ;866510926;5/03/2015 2:20;dolorum in non linguens transit.                  ;HFO4AKK9ZFSV                                      ;1891,476162;2859
48;287;287;33864;QEVVP0RH9KI5EPH11ZOF                              ;652665979;26/11/2012 8:05;eudis Quad in quoque fecundio, Sed                ;AUAHOSJIKZC4H5VBH                                 ;1531,414271;7814
49;223;223;92850;VCZQQG2R2SDVDOF160GJ                              ;175101855;30/09/2014 20:44;delerium. estis                                   ;8BL7U4K707U9D5KC                                  ;359,0029117;2772
50;69;69;64034;NZXOEVL2MVDQOU2W5YJO                              ;949094936;7/03/2009 9:08;homo, si gravis                                   ;OGA7CDBXGBZSFPXHTKK                               ;1553,165937;9088
51;694;694;81600;6S4A001ZVZ8WA7C11BLH                              ;53349471;2/10/2015 23:40;quo, quo, bono Et                                 ;205WGSCNAM                                        ;652,7467569;4425
52;928;928;77947;GWZ4OTD411WU9G7TEEUK                              ;102961155;30/05/2010 19:56;estum. nomen transit. Longam,                     ;J5P6V7EWX99ESKFLHWSJL0                            ;1688,182304;2948
53;929;929;22823;QW5UENPV3MY70PV45B6N                              ;136871626;27/07/2013 7:37;Longam, essit. parte                              ;CNADQK0NNT4GNPJ29EO                               ;1918,970363;6863
54;901;901;NULL;UXB11R58NXQXMP0T9A6O                              ;651806416;7/12/2006 20:33;cognitio, plorum                                  ;OTMDC16UQH2MIQDI                                  ;1573,883725;9907
55;94;94;64953;XFXN8QCO92NW7WYTTCVJ                              ;614869103;27/11/2010 13:21;Pro sed fecundio,                                 ;UOBWMMKO4RWYUI4W                                  ;275,360345;3379
56;107;107;19818;GO8ADZUBV10YLXIEES0T                              ;348697855;14/06/2010 17:15;dolorum imaginator                                ;PJ1X1PD6X5QIXWC0HFQ                               ;653,9255719;6041
57;954;954;15870;DV30ET1ZGXB4MGQPCVRH                              ;320905948;14/11/2006 21:08;egreddior novum                                   ;P272O79AWWZYP30THNSZ                              ;1086,561762;6677
58;149;149;82269;E0NXMZGFEKVQ33T59Y6T                              ;698440981;21/08/2015 19:51;et ut in quantare in estis si                     ;QOGT57UJYD                                        ;32,52753431;NULL
59;570;570;4433;E4OUZGSP1X9B6ZUF2STL                              ;958881749;13/03/2009 20:12;et quoque apparens                                ;DKPNBY8TF3905STTVIITNREY                          ;1455,990893;3659
60;619;619;84146;1CFEIDWJ3WKO1ZWY3NIO                              ;786373048;17/09/2008 13:53;gravis plorum plorum vobis                        ;Q9J0EQYJXK4EDHIFZJUG                              ;1524,905586;8435
61;NULL;NULL;23889;CNMEX3ZP66D8RCR9GG3V                              ;72213532;29/07/2011 17:10;e Multum linguens e                               ;A0CDY1FJFM6RALP                                   ;1280,372429;5708
62;851;851;35803;Y0ON40XGZ5AWTOPTZL9X                              ;703837321;31/08/2010 18:15;egreddior pladior et                              ;T0CBH88PEI00EO                                    ;0,951657072;6543
63;282;282;64264;WQ7GAM5PN6FSLEMXRS31                              ;844528357;26/07/2013 18:11;Pro Tam nomen quorum parte                        ;JHPG87MGPIZHYYN3WTP5JH                            ;910,9748243;8290
64;959;959;30524;702BXN1FGVUYB1AH7TDR                              ;40072356;7/10/2013 23:19;novum et homo, quis non                           ;71SMZG0F5REM9L5GI6KNSHQ                           ;1504,750293;6810
65;388;388;38603;BYV38A3W7S5VLPP54DY4                              ;642057470;13/09/2008 7:53;eudis plorum bono Quad et                         ;QRF47OIO2CHEGKNZP3UQK                             ;670,4125771;707
66;281;281;77885;6BLUACBFKYPAHV267ODX                              ;83926260;15/07/2009 6:43;si estum. estis quo                               ;NULL;1664,783035;3348
67;532;532;40322;92O3PCLC2GENI4NA9YXR                              ;906183930;19/08/2006 12:27;si e quad vobis                                   ;DIRC7ZZUCPBIW70W7G9P                              ;568,1161092;3057
68;1065;1065;89127;NUFL4TMYXOL6PX9WRK0Q                              ;475524149;5/01/2013 7:16;regit, dolorum homo, estum.                       ;X3R0XJKYOM0PFDXC                                  ;1431,604785;6627
69;847;847;52090;IIBMYRFWYPF62L78HLJY                              ;354701108;1/06/2011 4:35;quo Tam egreddior                                 ;GJP7ZS3XOFZS                                      ;192,8899149;3782
70;105;105;49894;5RTGS7DDHEX1D5C4Y527                              ;965355801;15/01/2013 15:30;volcans Et quo rarendum                           ;EHUQGF0B9FE                                       ;1402,276407;2675
71;402;402;43133;YZ50MB1O9YGROCQI56J1                              ;717942277;7/11/2014 16:11;e nomen quantare                                  ;O3ATGT3JCZQ                                       ;568,7003241;3578
72;131;131;47851;GBH5PGV3JGHRC6SNG5VC                              ;487594681;24/02/2008 1:24;quantare plorum novum e trepicandor               ;CXAN393L5S7IUOXICJ73ACBOS                         ;1005,401788;805
73;616;616;81813;7FH9OSLMSYI5IINNVXU5                              ;194917210;22/07/2009 1:59;eudis nomen novum volcans                         ;7MV9JFRUDI4C80BTPVVSYRWK                          ;1520,713062;2415
74;686;686;71164;QIZ0C6YUP0OOT8V0V1O9                              ;602762852;23/12/2011 0:53;plorum nomen cognitio, quorum                     ;TSMP0MMVZ1HPW8SQ0BEE0B                            ;24,04861433;2091
75;173;173;47723;QHZLUO4ZL8064HXH8CLN                              ;943960994;22/05/2005 1:08;quad funem. non eudis Longam,                     ;RHMFTZ4GPA2QM44CWHG8YU3                           ;1787,296486;4713
76;610;610;85527;3XUGO9RNZW6V3000FHIT                              ;999408678;12/07/2010 1:05;linguens bono Et                                  ;M21YGI66HLV8                                      ;135,2828723;5132
77;998;998;14558;4SNIORYIMP2MPNJ445FC                              ;16024608;13/09/2006 8:23;Tam Id plorum e                                   ;6TVVLREUI6LVYHWK27W                               ;348,0792233;9227
78;64;64;61;LCUB1GWHTU3UWY56YZHS                              ;505377552;23/07/2013 12:59;in quad ut quad novum funem. pars                 ;STQY5073W819WYQOKDD                               ;1891,590399;8473
79;843;843;72631;C739DDHVBC3GJIGT6NA2                              ;826976176;16/08/2009 2:26;Versus plurissimum cognitio, fecit,               ;OZ4WF3H0AMEEYULD2XPLKAYA                          ;1773,347692;NULL
80;646;646;97909;TUZRTOEY55XJ885Q1O3E                              ;507577737;8/12/2010 0:16;dolorum eggredior.                                ;CYZR7ZPUUOTPTI2I6T9TMB2                           ;383,383766;16
81;971;971;81337;IIZDDFODRC6Q3JC3HKP3                              ;381758456;25/04/2015 16:23;gravis travissimantor si quad                     ;CLNOSHE0TR34I83MPK35                              ;1693,608034;7088
82;513;513;85400;566WBAB25Z7OEBCZEG8P                              ;315787472;6/09/2015 7:14;e quorum transit. novum e linguens                ;O9EM2DHOGI0VM                                     ;1006,975753;4090
83;814;814;92316;DTQT5PSMJ3EBQCCTH15D                              ;283014396;6/10/2009 3:09;nomen rarendum parte                              ;LC11CATV1FXZYPN327X                               ;1997,586764;1497
84;576;576;18584;MDZ2P7Z334GDCSCF25KI                              ;17079193;12/02/2007 21:07;novum quad Tam Versus                             ;OC81P4WCC929VUIA                                  ;1249,162096;3476
85;673;673;94322;LVTCOY06WE2B9RGRRGHT                              ;150344507;27/07/2012 6:37;quantare quantare quorum Et e                     ;IRUYT7ZP3FR1DFT                                   ;1511,712855;5207
86;302;302;81596;FZXXDKZEEVLVW0H5P19Z                              ;390195506;7/09/2005 22:04;estum. et Longam,                                 ;1Q84ZB8EGI                                        ;1635,325678;7687
87;466;466;57237;6PE131WOBP2PW6WVEAE0                              ;558631340;10/11/2006 7:09;e quis gravis plorum                              ;CO437CFKG2MV5                                     ;1557,693571;4450
88;217;217;46273;IIHGDQYL2E8TL99JWAJ3                              ;654447706;21/12/2011 19:50;plurissimum gravis Multum                         ;CMO4BZU9AU496O6IGIAFM0                            ;458,2244914;7362
89;231;231;97159;36I5ZULAAQVY5O7XLQAX                              ;831670160;15/03/2008 15:51;in gravis et nomen                                ;BKOXUCVEU3                                        ;1531,5462;3155
90;447;447;623;9AUVAWMBI0UX2FCYADWD                              ;412136640;3/04/2010 12:01;gravis Longam, plorum quo                         ;MPJ95IX3DAZY                                      ;1387,968889;4275
91;20;20;36241;RODUGK2MBK95NUVO9PXZ                              ;837566;7/01/2009 17:14;gravum Versus habitatio fecit,                    ;QDXM4LPMBOCKM2ZWFF95A2H                           ;244,4819222;5906
92;817;817;39676;SQ0139VYADEKRHMH0UCK                              ;743921329;20/06/2015 20:58;plorum Sed apparens                               ;7CRHINNCLI                                        ;776,0646924;7661
93;914;914;17093;7FLSFLH90NYECYXCTDB6                              ;64845220;1/08/2010 0:10;quartu trepicandor                                ;HE999D9A16PIGY6YVPSVOV                            ;411,3135004;411
94;510;510;82042;06ULVC879VLE9KAE9OOE                              ;30357323;16/04/2010 9:44;Longam, cognitio, et                              ;FST83O00Y4                                        ;1139,55063;8668
95;994;994;83239;9PF6FJP47G0D169Q6J88                              ;440849729;14/05/2010 9:21;plurissimum transit. Pro                          ;IH550R1RGSHU                                      ;297,8131707;7717
96;654;654;92300;RSDZ3DMXKPNSYRHFEGSJ                              ;245724624;13/11/2005 8:00;fecundio, novum                                   ;JCOSMTMILGTHG55L05QEL                             ;1793,019975;9328
97;968;968;30533;1EK17E1O24F5MHX16B52                              ;536723404;10/04/2011 5:58;quorum quad non                                   ;PSPP1TWF6XXIORZ7E5                                ;1454,676924;7026
98;773;773;22114;MRDK2ERBR3FPZPDTYWZL                              ;808985653;10/12/2007 22:12;apparens essit.                                   ;CW1COKLW5FMRGP3NW3                                ;57,56094403;8358
99;421;421;10684;IK8NCAKD74NHWFM7G4Z9                              ;792865830;29/06/2006 22:56;et quantare si fecit. non funem. et               ;STL5AWJXHEM                                       ;952,9363955;7797
100;886;886;28375;A0ZFNRJ88F6GW364XQ47                              ;17541835;21/05/2007 2:19;quad venit. fecundio, esset                       ;RLW9JNG05FXR                                      ;756,7889377;2825
101;256;256;70008;KZS82ARLHRZBW8K97OJ1                              ;578431559;7/05/2005 11:51;Quad pars plorum quo                              ;J6HTL433ICOQQQF4M4HJLV5JG                         ;1075,291722;5901
102;898;898;50786;ZOH0ZCF2JDV2EQ167KHR                              ;718005070;28/02/2007 19:04;trepicandor delerium. estum. quo et               ;ZG3QCWU5QQ24WAIQ                                  ;459,8713771;4323
103;883;883;24962;QN650UMVP1K6TKAB72XB                              ;419237235;29/06/2006 3:29;quo, esset sed Versus                             ;88ISW0WJAF7EO0XC04NZRZ                            ;1338,524356;396
104;786;786;37902;YE38III2Z329H81AUZHS                              ;729180085;16/09/2006 5:13;quo Sed funem. estis                              ;WL0P1I870VMWB                                     ;956,7265049;9078
105;353;353;80828;TBBWL5QV0HJG3R92WIC4                              ;933339275;29/04/2010 16:56;eudis Tam Pro quantare rarendum                   ;S2F772GMR2                                        ;984,4656126;5139
106;34;34;75476;PYIXBC90C3GIC52SCWCR                              ;2963760;9/08/2012 22:16;travissimantor brevens, estis                     ;4RV5VQH8GM6WBU                                    ;1647,344969;9195
107;122;122;31485;ZLJSEGR7YH4OD3DSYATH                              ;929295161;9/11/2005 17:57;vobis et regit, gravum Multum                     ;187J23ME827SKXB9TXZXQD144                         ;167,4692417;8283
108;497;497;32335;NE2XRM7AKLZCNQCZ4XVH                              ;522561768;6/08/2006 6:44;Pro si novum linguens                             ;OUBL53C608F70MICN3OXWB5                           ;1894,921749;2010
109;262;262;15533;EMBUZ2O0DMJABC7GVMTK                              ;458767905;19/07/2006 19:24;cognitio, esset gravis rarendum                   ;DZCXAO62FWFS3MX4FEX2                              ;1786,587239;856
110;243;243;86811;DV5CPD1TUDXZ29SQ3SKI                              ;347957414;19/05/2005 12:16;quoque quantare                                   ;LXCEDPYG68DO                                      ;140,0774727;2149
111;134;134;53251;6ZF2CD4I9A1XV0Q6H9OM                              ;855538872;2/10/2008 8:51;novum non funem.                                  ;86RFVB1DS3                                        ;305,8463485;4775
112;560;560;85863;J8MA83FPSU91M7WPADZX                              ;608603416;23/04/2009 8:09;estis si plorum                                   ;Q915KHIE2JR1ZIXZ8L8O23                            ;1194,971364;4152
113;342;342;55167;L2V2682KLJVV3NQSR3AP                              ;501660520;6/01/2011 17:24;et non Quad fecit. pladior bono                   ;DRC0JL1FST5O3OSWOPYMEH4                           ;259,1798418;7568
114;98;98;55480;GGSV8TTH7VPPWX5R81UC                              ;651959924;5/04/2014 19:55;pars Id quoque fecit, funem.                      ;XXCSRKE4M5NE7                                     ;1072,607127;6661
115;711;711;53158;6AD5JJ5WIAO7G4M26YF8                              ;928082608;24/05/2009 21:30;transit. quad habitatio                           ;ZS03Y8TUTAFPJY3HPW                                ;1831,297552;6571
116;652;652;42962;DO667QK0J1GCOA5EQP9N                              ;235227488;22/11/2011 9:55;et fecundio, quis                                 ;L3L88N8E11Y1EP7                                   ;273,3966765;4344
117;265;265;7124;OL0IFSIP13F42SM7ZCTL                              ;356280881;26/11/2005 15:06;fecundio, gravis                                  ;5LAJVX242C20G1                                    ;3,364892678;4210
118;196;196;15258;Z88VSUHOG85KIP36ORX1                              ;316823208;14/06/2011 21:04;nomen e gravis linguens rarendum                  ;FRRLEEKSGPTSSU91ZC8XWED                           ;1661,812728;3067
119;492;492;72985;HX18LHI7QDG2OPCRMMY1                              ;453873097;14/03/2006 16:42;quis fecit. bono vobis egreddior                  ;N0G6WK7YZWJ9M                                     ;1993,037438;3082
120;320;320;37209;LV9JJ3J0BKWJKHB7M6DZ                              ;514243552;7/01/2008 9:49;travissimantor esset                              ;SCLTUT25AASB3O8480E0YEXE                          ;1035,0869;9124
121;245;245;93782;PVOIUZQE15Y0AW2RP2DY                              ;379780660;5/09/2007 23:34;quis Id et pars Versus e                          ;VHUTVAZEWJV                                       ;107,0894646;6257
122;611;611;8295;FSKJ481K0FL1JVZL1P4T                              ;430378285;28/08/2010 16:36;linguens glavans                                  ;3KJOIP6DKHJQVOJVM5EF                              ;109,8916177;5986
123;NULL;NULL;83046;AEXI9K8GX4Z1AA24YPRP                              ;991262744;23/10/2009 15:24;parte quad et ut travissimantor sed               ;XZB8CFZTW74CS5GUBFOQ0B                            ;1900,058584;9903
124;962;962;538;0PDYQ026OC95J4DN0UNS                              ;778017560;28/02/2006 16:34;si pars si quoque Tam                             ;X4X7R3SR5G46K8G6A7K                               ;804,9210258;2351
125;1097;1097;5633;2BL08LWG2ZC3R9OKJIK5                              ;748731005;8/01/2009 22:16;parte Et volcans                                  ;AFD3J21APPO6MLD                                   ;1157,794484;7876
126;191;191;90733;9RQWQ5OHXV3XQYERYIF6                              ;170883661;19/05/2015 19:13;funem. Id quad Quad                               ;E77P3GYWNYVMV9EJGM3IQTOP                          ;1792,635632;5014
127;111;111;33214;LDW1RVP2HC3MUTJV4HF7                              ;312127591;25/07/2013 1:13;pladior venit. pars                               ;H1FSXKZUCR2ZVKUHHFK6FFFB                          ;594,0882874;3166
128;102;102;58690;44961BASL05ZKNEUUZAZ                              ;257865138;6/04/2015 16:14;delerium. quis vobis delerium.                    ;QZIVDKJIMMEJ3QEWRIHCKL1                           ;381,1624322;2138
129;643;643;69079;GI0AV4VWT0ZYPG8NVQJE                              ;169770702;11/08/2006 15:32;quantare parte gravum linguens                    ;18E3IM2L4N7KGZY7IH8YF                             ;1726,235444;4698
130;242;242;25417;VBYN95509I57LOL8V66E                              ;95536175;8/07/2015 17:08;transit. quo quartu                               ;DP69NWYYK5                                        ;1994,276511;2764
131;860;860;47579;R050U656Z8QK4K62NLZP                              ;608435911;2/04/2015 19:06;quo, imaginator                                   ;8U56GZZJSE                                        ;680,6059483;7687
132;908;908;14991;KHUQ4SNEZJD0D4BSMFZ0                              ;127637143;3/10/2014 10:11;vobis habitatio et                                ;JTFSKAT2D2T3UOX8Z5                                ;290,5182793;6774
133;461;461;29658;A9ENH3F68K7O17JBAQDH                              ;57392025;25/01/2012 14:02;eggredior. quad                                   ;521M84T02H8ENJX                                   ;938,6540032;1430
134;779;779;90547;ZPDKQGV906ZP197F3NP7                              ;438280743;30/03/2007 0:07;manifestum Quad                                   ;CTVCN5HSVFRAHIR0E58DH77                           ;1016,558755;5647
135;648;648;51081;RZ6BCWSHCOLI1AK02QMJ                              ;68067191;3/08/2010 12:25;plorum esset delerium. et gravis                  ;Q9RL4N6JXIKE3TZ                                   ;1308,092044;4116
136;609;609;61666;7D7ZZXCV63O9J8P79EJ2                              ;474361355;25/02/2013 21:18;et esset Id et quad                               ;L9QSDJJJP70HAKP5M7MEDWN89                         ;1233,736657;2765
137;624;624;37818;OHE7ZYME1W2OBKMYCCZG                              ;465187447;11/03/2014 3:44;fecit. Id vobis novum e essit.                    ;DYYCWL58S7GFA6Q8VXNO9C                            ;1668,451397;3693
138;874;874;27875;5LW8I2VTTC2G4IVTS0YP                              ;970013677;21/01/2008 21:55;egreddior habitatio et                            ;FSW6LNOMII56K                                     ;1040,860259;2420
139;138;138;26651;56LL8N39X1KM6IWHYHWQ                              ;111056956;15/10/2012 4:10;travissimantor si                                 ;DAFC2RIO6XFO40PL                                  ;264,6964836;8338
140;NULL;NULL;10022;8KZ771Q4JB0Q40FBMAES                              ;719373071;17/12/2015 8:21;funem. fecit, et eudis gravum Quad                ;Y05IJ0EKL3KYW505                                  ;1864,367886;6013
141;1084;1084;42322;VAIUX0ZCTJ2ZVXLLE0MC                              ;261967631;29/10/2015 4:07;Multum e habitatio Tam ut                         ;IN7B6KARMZRWIOX                                   ;1467,856436;9404
142;867;867;66292;DPJW2HG6C7HY0CAHD91R                              ;468393555;7/04/2005 0:24;Id si non eggredior.                              ;X66F2T90RGO                                       ;1662,771822;2440
143;787;787;18291;QSYR83UP79SGGIKYXVII                              ;798957772;5/06/2010 0:26;non sed volcans venit. delerium. in               ;P9SFIHH2D9                                        ;671,6372523;6505
144;830;830;57506;HCL1UKA41RKLBMXL5TEM                              ;395894923;29/10/2007 3:35;et nomen vantis.                                  ;FURX1NN2EN1ZY                                     ;1391,468728;1005
145;523;523;1004;4YOIKTPIFEJ8M9GDPDIJ                              ;963331363;3/07/2006 3:10;transit. glavans quis                             ;QKPD7KQWD1C7                                      ;1082,122541;9500
146;635;635;61596;6H7U4VNDS14WPCDWJARK                              ;851003823;16/09/2015 9:05;novum linguens Tam vantis.                        ;E06UKNEQKBV7D3EAAN9T                              ;1049,510559;NULL
147;1010;1010;NULL;MC1CPDG7FFV2VYGGNGX2                              ;990394094;15/06/2009 3:33;transit. imaginator                               ;SXSO5P1JHPLUB927                                  ;516,8848506;1754
148;801;801;10491;NCFBWW2G63RYZK56HEI6                              ;321611556;26/04/2012 4:14;travissimantor transit.                           ;HCJ368T5TGBM2                                     ;1338,706374;92
149;922;922;72453;CM8UUEXFVUTIFYZM1TGD                              ;414787757;23/11/2005 12:13;quad si Longam,                                   ;2DQM2D5EYC72MAD1UB2                               ;1308,253077;3751
150;193;193;32906;8B43VDBA51FVZBQ6H2I5                              ;678590694;21/06/2014 23:25;estis quo et volcans glavans et                   ;6X9HMPZJB8PXFBJHK                                 ;24,41649419;2096
151;662;662;23691;A9XGKL5KGL1SE3A4QY0M                              ;31715458;17/12/2015 16:54;quo, Longam, si                                   ;ZTM2E6V3LJSSM0J                                   ;1789,655083;3373
152;535;535;86163;QSEMFN8FKRY8QY26NBS5                              ;825947524;26/10/2015 8:54;habitatio nomen in Id                             ;7439ZDEM2PNANBRVH                                 ;1792,864196;5117
